before	after
berperikemanusiaan	bersimpati
menyengsarakam	menyengsarakan
memnuat	membuat
nangkapin	menangkap
sobb	sahabat
fakt	fakta
njlungup	jatuh
enggk	enggak
kerjaa	kerja
kafirin	kafir
simpat	simpati
menyak	menyaksikan
prsyarat	persyaratan
akumul	akumulasi
nengecam	mengecam
narsum	narasumber
conton	contoh
yahudiah	yahudi
merudal	menembakkan
digenosida	dibunuh
ngaur	sembarangan
sigoblok	si bodoh
berulangk	berulang kali
antardua	antara dua
biaran	biarkan
ajalah	saja
ttep	tetap
terdoktrin	terjerumus
brenti	berhenti
lagiii	lagi
disisinlain	di sisi lain
presidenjoko	presiden jokowi
trllu	terlalu
ngebom	mengebom
sumban	sumbang
disalurin	disalurkan
britax	beritanya
hammas	hamas
didonatur	didonasikan
didonaturkan	didonasikan
ditemenin	ditemani
karesten	kristen
tentunyaaahh	tentunya
kewarnegaraan	kewarganegaraan
anjoooy	anjing
woyyy	kesal
kesali	kesal
yasudahlah	sudahlah
heuheu	ketawa
cruscade	perang salib
ngetwit	menulis
ngobrolin	membicarakan
rayain	merayakan
kopit	coronavirus
ambyar	berantakan
penajajahan	penjajahan
muslm	muslim
mendelegtimasi	pembatalan
hahahaha	ketawa
cyberbully	perundungan dunia maya
stanceku	sudut pandang saya
semuka	semua
beranikah	berani tidak
nindas	menindas
preming	menyusun
ngehek	bodoh
menunpahkan	menumpahkan
sejahterakan	sejahtera
kedholiman	kezaliman
nazillah	doa
merangsak	menyerang
hallah	heran
ngatain	membicarakan
nyebarin	menyebarkan
amiriki	amerika
melawanpun	melawan juga
elegen	elegan
orangx	orang
kematin	kemarin
comot	ambil
daaaan	dan
sebalikya	sebaliknya
memproklamasikan	mengesahkan
israelkali	israel mungkin
prngecut	pengecut
mengagresi	melakukan penyerangan
indobesia	indonesia
merecovery	pemulihan
bagitau	begitu
terpasuk	termasuk
menshare	membagikan
astofirullahaladzim	istighfar
kemakan	termakan
ngelarang	melarang
kesenengan	kesenangan
dimari	disini
ngikutin	mengikuti	
diroket	diserang
palestinianya	palestina
memamg	memang
exis	eksis
kezel	kesal
tertarget	ditargetkan
israael	israel
merepresentasikan	mendeskripsikan
meguasai	menguasai
digaza	di gaza
ngeshare	membagikan
yakali	mana mungkin
wkwkwkwkwk	ketawa
resistence	perlawanan
ngegiring	menggiring
kontol	kelamin
ulangin	ulangi
kemanusiaankah	kemanusiaan
begituh	begitu
riijiek	rizieq
dimarih	disini
jugak	juga
ustadrun	ustadz
etapih	tetapi
anggep	anggap
intermezo	lelucon
sirael	israel
ngerusuhin	merusuhi
ngerudal	menembakkan rudal
gituuuu	gitu
terut	terus
dizolimi	dizalimi
tertutu	tertutup
untukmemuji	untuk memuji
kaprahtth	kaprah
berkhendak	berkehendak
nyetop	memberhentikan
memasifkan	menerima
seranganan	serangan
palsetina	palestina
hhmmm	heran
ngelobi	membicarakan
Internasional	internasional
memepengaruhi	mempengaruhi
busyet	terkejut
hamasadalah	hamas adalah
ngajarin	mengajarkan
digoogle	di google
dikadalin	ditipu
tereak	teriak
gasak	pukul
kafirun	kafir
berkoar	berteriak
israhel	israel
halaaahh	mana mungkin
mulaiii	mulai
hajaaarrr	hajar
dibodohin	dibodohi
ajakin	ajak
bersolidaritas	kebersamaan
pendengung	pendongeng
bentaran	sebentar
siapin	siapkan
bermaterei	bermaterai
laah	heran
disempitkan	sempit
netizan	netizen
dijatikan	dijadikan
dluan	duluan
kasihlah	kasih
dikasihanin	dikasihani
ngeladenin	melayani
danjepang	dan jepang
seluruhdunia	seluruh dunia		
arabtidak	arab tidak
representational	representasi
diback	di belakang
masib	masih
ahhhhhh	kesal
percayalaahhhhhh	percaya
nebar	nyebar
gausa	tidak usah
dilanjutin	melanjutkan
diperang	diperangi
smartpeople	orang pintar	
nyolot	menantang
nuduh	menuduh
duluin	duluan
sesimple	semudah
ksana	kesana
ngomporin	mengompori
mikiri	memikirkan
dijdin	dijadikan
ngiklan	iklan
mengerdilkan	mengecilkan
dicekokin	dicekoki
sengekta	sengketa
kiamatpun	kiamat
dukunganmu	dukungan kalian
dikabulin	dikabulkan
sekelompokmu	kelompok kamu
menggambarjan	menggambarkan
kokakola	minuman
qaqa	kakak
diketok	diketuk
mlulu	melulu
seliweran	berkeliaran
mevvah	mewah
yahudisme	yahudi
begtu	begitu
muslem	muslim
nymbung	nyambung
pprangan	peperangan
trorisme	teroris
palestian	palestina
berkesusahan	kesusahan
sebernanya	sebenarnya
caplokan	omong
mngruniakan	mengaruniakan
kdamaian	kedamaian
disna	disana
mngjrkn	mengajarkan
kbencian	kebencian
kpntingan	kepentingan
qadarullah	kehendak allah
disusupkn	disusupkan
xmantan	bekas teman
nambahin	menambahkan
dpertahankan	dipertahankan
siapaun	siapapun
seharausnya	seharusnya
hamass	hamas
kemrn	kemarin
buanyak	banyak
terdzalimi	terzalimi
dapetin	mendapatkan
mingkem	tertutup
terorissss	teroris
terorisssss	teroris
gazanow	gaza
hayyu	mari
pansos	panjat sosial
laknatullah	laknat
cengar	tertawa
cengir	tertawa
setannyahu	setan
maulah	mau
membanti	membantai
ngidul	tidak jelas
ngorbanin	mengorbankan
nawarin	menawarkan
manfaatin	memanfaatkan
yeaahh	iya
ngusir	mengusir
ngebantai	membantai
buzzerp	buzzer
pstilah	pastilah
trluka	terluka
senangkan	menyenangkan
marikita	marikita
dsana	disana
pemikirian	pemikiran
dekingan	bimbingan
dahla	sudahlah
begox	bodoh
uuu	heran
maluuuuuuu	malu
allahuakbar	allahu akbar
alhamdulillahhh	alhamdulilah
melapurkan	melaporkan
barakallahu	semoga allah
fikum	memberkahi kalian
modaro	mati
aqsho	aqsha
koarx	teriak
cocoklogi	mencocokkan
samalah	sama
didengerin	didengarkan
ngroket	menyerang
dqh	sudah
mbahas	membahas
buzzerrp	buzzer
orgnisasi	organisasi
sanderaan	sandera
tuhhh	itu
uruain	urusan
menggruduk	geruduk
plestina	palestina
prwkln	perwakilan
ketidakuran	
kmanusiaan	kemanusiaan
besuara	bersuara
prokes	protokol kesehatan
perikeadilan	keadilan
dikebelakangkan	di kebelakangkan
palaestin	palestina
memgatakan	mengatakan
mendeklarasilan	mendeklarasikan
pmrth	pemerintah
bolh	boleh
baitulmakdis	baitul maqdis
baitulaham	baitul maqdis
prjuangan	perjuangan
pnjajah	penjajah
jebul	ternyata
peyot	tua
khilapah	khilafah
donaturnya	donasinya	
jalanraya	jalan raya
insyaallah	insya allah
disamain	disamakan
beretorika	keterampilan
antiimperialismenya	anti imperialisme
fucet	pucat
tilepan	lipatan
berwilayah	wilayah
didepanmu	didepan kamu
dibelakanmu	dibelakang kamu
toeh	itu
bentji	benci
yahoedi	yahudi
tjoba	coba
segitoenja	sebegitunya
ralyat	rakyat
esrahel	israel
husnudzan	husnuzan
cuiiih	najis
anjeeeeeenk	anjing
rengek	mendesak
ngebahas	membahas
dibelokin	dialihkan
againts	lagi
tetoris	teroris
silwani	siliwangi
dsaat	disaat
dablek	dinasehati
senewen	bingung
trlihat	terlihat
gontok	berselisih
gontokan	berselisih
waduuuh	terkejut
ngaitkan	dikaitkan
gencat	henti 
tikai	selisih
kadrun	kadal gurun
ronta	bergerak sekuat kuatnya
libat	terbawa bawa
jarusalem	yerusalem
ngerasa	merasa
soekarnoisme	ajaran bung karno
tepewen	tvOne
nyerang	serang
yudae	yudea
sangai	sangat
ngelawan	melawan
israelnya	israel nya
seperms	sperma
kutik	gerak
beranta	 musnah
lenceng	nyimpang
duaduanya	dua duanya
zsm	zionis
emis	minta
koar	kata
gansing	gasing
memuncah	membuncah
masoh	masih
takuntukan	takutkan
kspi	Konfederasi Serikat Pekerja Indonesia
ngebacanya	membacanya
recok	ikut campur
ungsi	pindah
drun	kadal gurun 
caplok	rampas
nyebutnya	di sebut dengan
luap	keluar
ngerebut	merebut
tapo	tapi
libat	terbawa bawa
simpat	simpatik
karenaa	karena
ngebacot	ngomong terus
terlanjur	terdorong 
acau	kacau
nyerang	serang
kslau	kalau
ngelarang	melarang
jugz	juga
palestinanya	palestina nya
abur	kabur
covid	virus
harrus	harus
lnternasional	internasional
subjektifitas	subjektivitas
kemairn	kemarin
peranfg	perang
syangnya	sayang nya
ugyur	uighur
enggka	enggak
lsrael	israel
buzzerr	buzzer
perwakila	perwakilan
kterpengaruh	terpengaruh
mungkir	mungkin
iorang	orang
kemanusisan	kemanusiaan
sobbb	sahabat
srel	israel
pengetahuanan	pengetahuan
simpat	simpatik
acau	kacau
lompok	sekelompok
kumpulanan	kumpulan
nyebar	sebar




	  










